"id","Reference","bindingType","partStatus","securityLabel","shrinkwrap","threeHoleDrill","perf","productionPage","thickness","height","width","weight","textPaperType","coverFinishType","textColor","siren","quantity"
"zdz","JOU-064-7CSS-MPWJ_[10 Pack]-PJX","Saddle-Stitched","ss","false","false","false","dcd","1","0.6","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","azz","fff","10"
"zdz","JOU-064-7CSS-MPWJ_[10 Pack]-PJL","Saddle-Stitched","ss","false","false","false","dcd","1","0.6","11.0","8.5","1.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","azz","fff","10"
"JOU-064-7CSS-RRJ-[10 Pack]-PJX","JOU-0XX-7CSS-RRJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","64","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-0XX-7CSS-MPRRJ-[10-Pack]-PJX","JOU-032-7CSS-MPRRJ-[10 Pack]-PJX","Saddle-Stitched","null","false","false","false","null","32","0.06","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-040-7CSS-MCJ(Cursive)","Saddle-Stitched","null","false","false","false","null","40","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","0"
"null","JOU-064-7CSS-(MPSWJ)-[10-Pack]","Saddle-Stitched","null","false","false","false","null","0","0.06","11.0","8.5","0.0","60lb (24lb Bond)","Durable Color Cover","null","null","10"
"null","JOU-0XX-7CSS-MJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)","Durable Color Cover","null","null","10"
"JOU-064-7CSS-MWJ-[10 Pack]-PJX","JOU-0XX-7CSS-MWJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-0XX-7CSS-MMJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","64","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-032-7CSS-MSJ-(10-Pack)-PJX","JOU-032-7CSS-MSJ-(10-Pack)-PJX","Saddle-Stitched","null","false","false","false","null","32","0.0","11.0","8.5","0.0","60lb (24lb Bond)","Durable Color Cover","null","null","10"
"BookFactory Elementary School Writing Journal - 10 Pack","JOU-0XX-7CSS-WJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-064-7CSS-MPWJ_[10 Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.06","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-0XX-7CSS-RRJ-[10-Pack]-PJX","JOU-064-7CSS-RRJ-[10 Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","60.0","11.0","8.5","0.0","60lb (24lb Bond)","Durable Color Cover","null","null","10"
"JOU-0XX-7CSS-MPRRJ-[10-Pack]-PJX","JOU-032-7CSS-MPRRJ-[10 Pack]-PJX","Saddle-Stitched","null","false","false","false","null","32","0.6","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-064-7CSS-MRRJ-[10 Pack]-PJX","JOU-0XX-7CSS-MRRJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","64","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-040-7CSS-MCJ(Cursive)","Saddle-Stitched","null","false","false","false","null","40","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","0"
"null","JOU-064-7CSS-(MPSWJ)-[10-Pack]","Saddle-Stitched","null","false","false","false","null","64","0.0","11.0","8.5","0.0","60lb (24lb Bond)","Durable Color Cover","null","null","10"
